SR Number,Address,RequestDate
SR24-00581447,3324 S Halsted St,3/31/2024, 10:14:01 PM,1,Parkway
SR24-00581448,3356 S Halsted St,3/31/2024, 10:14:14 PM,1,Parkway
SR24-00581449,3400 S Halsted St,3/31/2024, 10:14:26 PM,4, in front of library and fountain square
SR24-00581452,3444 S Halsted St,3/31/2024, 10:14:43 PM,2, in front of the main entrance
SR24-00581455,757 W 35th St,3/31/2024, 10:15:11 PM,1, parkway along halsted
SR24-00581457,3505 S Halsted St,3/31/2024, 10:15:25 PM,1,Parkway
SR24-00581458,3509 S Halsted ST,3/31/2024, 10:15:38 PM,1,Parkway
SR24-00581459,3511 S Halsted St,3/31/2024, 10:15:51 PM,1,Parkway
SR24-00581460,3513 S Halsted St,3/31/2024, 10:16:04 PM,1,Parkway
SR24-00581461,3515 S Halsted St,3/31/2024, 10:16:17 PM,1,Parkway
SR24-00581462,3519 S Halsted St,3/31/2024, 10:16:30 PM,1,Parkway
SR24-00581466,3525 S Halsted St,3/31/2024, 10:16:44 PM,1,Parkway
SR24-00581467,3527 S Halsted St,3/31/2024, 10:16:58 PM,1,Parkway
SR24-00581468,3529 S Halsted St,3/31/2024, 10:17:11 PM,1,Parkway
SR24-00581469,3564 S Halsted St,3/31/2024, 10:17:25 PM,1,Parkway
SR24-00581470,3615 S Halsted St,3/31/2024, 10:17:38 PM,3, one on north parkway by alley and 2 south of bus stop bench
SR24-00581474,3637 S Halsted St,3/31/2024, 10:17:51 PM,1,Parkway
SR24-00581475,3725 S Halsted St,3/31/2024, 10:18:04 PM,1,Parkway
SR24-00581476,3762 S Halsted St,3/31/2024, 10:18:17 PM,2,Parkway
SR24-00581477,840 W 35th St,3/31/2024, 10:18:30 PM,2, either side of big garage door
SR24-00581479,901 W 35th St,3/31/2024, 10:18:44 PM,2, along 35th
SR24-00581480,907 W 35th St,3/31/2024, 10:18:58 PM,4,Parkway along long side of building
SR24-00581483,917 W 35th St,3/31/2024, 10:19:11 PM,1,Parkway
SR24-00581486,919 W 35th St,3/31/2024, 10:19:25 PM,1,Parkway
SR24-00581487,929 W 35th St,3/31/2024, 10:19:38 PM,1,Parkway
SR24-00581488,931 W 35th St,3/31/2024, 10:19:52 PM,1,Parkway
SR24-00581490,3501 S Sangamon St,3/31/2024, 10:20:05 PM,1, along 35th
SR24-00581491,3465 S Morgan St,3/31/2024, 10:20:25 PM,2, along 35th
SR24-00581562,3255 S Halsted St, 60616,3/31/2024, 10:51:04 PM,1,Parkway
SR24-00581563,3259 S Halsted St, 60616,3/31/2024, 10:51:16 PM,1,Parkway
SR24-00581564,3261 S Halsted St, 60616,3/31/2024, 10:51:30 PM,1,Parkway
SR24-00581565,3263 S Halsted St, 60616,3/31/2024, 10:51:42 PM,1,Parkway
SR24-00581566,3431 S Halsted St, 60616,3/31/2024, 10:51:54 PM,1,Parkway
SR24-00581567,3445 S Halsted St, 60616,3/31/2024, 10:52:07 PM,1,Parkway
SR24-00581568,3447 S Halsted St, 60616,3/31/2024, 10:52:19 PM,1,Parkway
SR24-00581570,3449 S Halsted St, 60616,3/31/2024, 10:52:32 PM,1,Parkway
SR24-00581571,3457 S Halsted St, 60616,3/31/2024, 10:52:44 PM,2,Parkway
SR24-00581572,918 W 35th St, 60609,3/31/2024, 10:52:56 PM,1,Parkway
SR24-00581573,942 W 35th St, 60609,3/31/2024, 10:53:08 PM,1,Parkway
